기준년월,시군구,평균소득월액
2022-12,전라남도여수시,1423884
2022-12,전라남도순천시,1399345
2022-12,전라남도나주시,1316783
2022-12,전라남도광양시,1433070
2022-12,전라남도담양군,1288607
2022-12,전라남도곡성군,1295367
2022-12,전라남도구례군,1250871
2022-12,전라남도고흥군,1252487
2022-12,전라남도보성군,1285214
2022-12,전라남도화순군,1316080
2022-12,전라남도장흥군,1291738
2022-12,전라남도강진군,1278152
2022-12,전라남도해남군,1332409
2022-12,전라남도영암군,1240551
2022-12,전라남도무안군,1275883
2022-12,전라남도함평군,1286662
2022-12,전라남도영광군,1350739
2022-12,전라남도장성군,1299756
2022-12,전라남도완도군,1336687
2022-12,전라남도진도군,1281210
2022-12,전라남도신안군,1284410
2022-12,경상북도포항시,1396061
2022-12,경상북도경주시,1380661
2022-12,경상북도김천시,1324889
2022-12,경상북도안동시,1361043
2022-12,경상북도구미시,1377422
2022-12,경상북도영주시,1318302
2022-12,경상북도영천시,1321529
2022-12,경상북도상주시,1312601
2022-12,경상북도문경시,1331246
2022-12,경상북도경산시,1361869
2022-12,경상북도의성군,1235144
2022-12,경상북도청송군,1243294
2022-12,경상북도영양군,1236558
2022-12,경상북도영덕군,1368286
2022-12,경상북도청도군,1264504
2022-12,경상북도고령군,1345026
2022-12,경상북도성주군,1298853
2022-12,경상북도칠곡군,1399148
2022-12,경상북도예천군,1367841
2022-12,경상북도봉화군,1245722
2022-12,경상북도울진군,1511010
2022-12,경상북도울릉군,1532754
2022-12,경상남도창원시,1361947
2022-12,경상남도진주시,1365207
2022-12,경상남도통영시,1325813
2022-12,경상남도사천시,1338431
2022-12,경상남도김해시,1401699
2022-12,경상남도밀양시,1276383
2022-12,경상남도거제시,1251444
2022-12,경상남도양산시,1390245
2022-12,경상남도의령군,1344851
2022-12,경상남도함안군,1378539
2022-12,경상남도창녕군,1309835
2022-12,경상남도고성군,1246930
2022-12,경상남도남해군,1294327
2022-12,경상남도하동군,1315456
2022-12,경상남도산청군,1302376
2022-12,경상남도함양군,1291591
2022-12,경상남도거창군,1318564
2022-12,경상남도합천군,1310846
2022-12,제주특별자치도제주시,1374130
2022-12,제주특별자치도서귀포시,1362549
2023-12,서울특별시종로구,1547465
2023-12,서울특별시중구,1570627
2023-12,서울특별시용산구,1619569
2023-12,서울특별시성동구,1585330
2023-12,서울특별시광진구,1463668
2023-12,서울특별시동대문구,1464345
2023-12,서울특별시중랑구,1401017
2023-12,서울특별시성북구,1463822
2023-12,서울특별시강북구,1358915
2023-12,서울특별시도봉구,1403141
2023-12,서울특별시노원구,1441769
2023-12,서울특별시은평구,1424716
2023-12,서울특별시서대문구,1463515
2023-12,서울특별시마포구,1531841
2023-12,서울특별시양천구,1522309
2023-12,서울특별시강서구,1455700
2023-12,서울특별시구로구,1478041
2023-12,서울특별시금천구,1413344
2023-12,서울특별시영등포구,1542948
2023-12,서울특별시동작구,1491159
2023-12,서울특별시관악구,1365013
2023-12,서울특별시서초구,1747556
2023-12,서울특별시강남구,1777685
2023-12,서울특별시송파구,1591535
2023-12,서울특별시강동구,1473676
2023-12,부산광역시중구,1308984
2023-12,부산광역시서구,1384048
2023-12,부산광역시동구,1361141
2023-12,부산광역시영도구,1373605
2023-12,부산광역시부산진구,1391725
2023-12,부산광역시동래구,1434800
2023-12,부산광역시남구,1375699
2023-12,부산광역시북구,1387267
2023-12,부산광역시해운대구,1439310
2023-12,부산광역시사하구,1375519
2023-12,부산광역시금정구,1403405
2023-12,부산광역시강서구,1474691
2023-12,부산광역시연제구,1391313
2023-12,부산광역시수영구,1358990
2023-12,부산광역시사상구,1420391
2023-12,부산광역시기장군,1379928
2023-12,대구광역시중구,1436350
2023-12,대구광역시동구,1401574
2023-12,대구광역시서구,1359718
2023-12,대구광역시남구,1348097
2023-12,대구광역시북구,1434951
2023-12,대구광역시수성구,1489392
2023-12,대구광역시달서구,1436248
2023-12,대구광역시달성군,1411754
2023-12,대구광역시군위군,1335657
2023-12,인천광역시중구,1468314
2023-12,인천광역시동구,1379024
2023-12,인천광역시남구,1838833
2023-12,인천광역시미추홀구,1381859
2023-12,인천광역시연수구,1541749
2023-12,인천광역시남동구,1405609
2023-12,인천광역시부평구,1423836
2023-12,인천광역시계양구,1411637
2023-12,인천광역시서구,1487665
2023-12,인천광역시강화군,1483451
2023-12,인천광역시옹진군,1634857
2023-12,광주광역시동구,1364918
2023-12,광주광역시서구,1374339
2023-12,광주광역시남구,1355842
2023-12,광주광역시북구,1357385
2023-12,광주광역시광산구,1371782
2023-12,대전광역시동구,1396781
2023-12,대전광역시중구,1401036
2023-12,대전광역시서구,1389007
2023-12,대전광역시유성구,1458661
2023-12,대전광역시대덕구,1399636
2023-12,울산광역시중구,1339490
2023-12,울산광역시남구,1417914
2023-12,울산광역시동구,1294996
2023-12,울산광역시북구,1365038
2023-12,울산광역시울주군,1416083
2023-12,세종특별자치시,1468836
2023-12,경기도수원시,1451709
2023-12,경기도성남시,1520114
2023-12,경기도의정부시,1390893
2023-12,경기도안양시,1487943
2023-12,경기도부천시,1434564
2023-12,경기도광명시,1506198
2023-12,경기도평택시,1448973
2023-12,경기도동두천시,1397516
2023-12,경기도안산시,1439170
2023-12,경기도고양시,1467216
2023-12,경기도과천시,1645339
2023-12,경기도구리시,1488980
2023-12,경기도남양주시,1487349
2023-12,경기도오산시,1470573
2023-12,경기도시흥시,1535368
2023-12,경기도군포시,1479582
2023-12,경기도의왕시,1547200
2023-12,경기도하남시,1546980
2023-12,경기도용인시,1534153
2023-12,경기도파주시,1463053
